fio version 2 iolog
/mnt/ms111/group2/ssd/test_file write 884736 4096
/mnt/ms111/group2/ssd/test_file write 888832 4096
/mnt/ms111/group2/ssd/test_file write 892928 4096
/mnt/ms111/group2/ssd/test_file write 897024 4096
/mnt/ms111/group2/ssd/test_file write 901120 4096
/mnt/ms111/group2/ssd/test_file write 905216 4096
/mnt/ms111/group2/ssd/test_file write 909312 4096
/mnt/ms111/group2/ssd/test_file write 913408 4096
/mnt/ms111/group2/ssd/test_file write 917504 4096
/mnt/ms111/group2/ssd/test_file write 921600 4096
/mnt/ms111/group2/ssd/test_file write 925696 4096
/mnt/ms111/group2/ssd/test_file write 929792 4096
/mnt/ms111/group2/ssd/test_file write 933888 4096
/mnt/ms111/group2/ssd/test_file write 937984 4096
/mnt/ms111/group2/ssd/test_file write 942080 4096
/mnt/ms111/group2/ssd/test_file write 946176 4096
/mnt/ms111/group2/ssd/test_file write 950272 4096
/mnt/ms111/group2/ssd/test_file write 954368 4096
/mnt/ms111/group2/ssd/test_file write 958464 4096
/mnt/ms111/group2/ssd/test_file write 962560 4096
/mnt/ms111/group2/ssd/test_file write 966656 4096
/mnt/ms111/group2/ssd/test_file write 970752 4096
/mnt/ms111/group2/ssd/test_file write 974848 4096
/mnt/ms111/group2/ssd/test_file write 978944 4096
/mnt/ms111/group2/ssd/test_file write 983040 4096
/mnt/ms111/group2/ssd/test_file write 987136 4096
/mnt/ms111/group2/ssd/test_file write 991232 4096
/mnt/ms111/group2/ssd/test_file write 995328 4096
/mnt/ms111/group2/ssd/test_file write 999424 4096
/mnt/ms111/group2/ssd/test_file write 1003520 4096
/mnt/ms111/group2/ssd/test_file write 1007616 4096
/mnt/ms111/group2/ssd/test_file write 1011712 4096
/mnt/ms111/group2/ssd/test_file write 1015808 4096
/mnt/ms111/group2/ssd/test_file write 1019904 4096
/mnt/ms111/group2/ssd/test_file write 1024000 4096
/mnt/ms111/group2/ssd/test_file write 1028096 4096
/mnt/ms111/group2/ssd/test_file write 1032192 4096
/mnt/ms111/group2/ssd/test_file write 1036288 4096
/mnt/ms111/group2/ssd/test_file write 1040384 4096
/mnt/ms111/group2/ssd/test_file write 1044480 4096
/mnt/ms111/group2/ssd/test_file write 1048576 4096
/mnt/ms111/group2/ssd/test_file write 1052672 4096
/mnt/ms111/group2/ssd/test_file write 1056768 4096
/mnt/ms111/group2/ssd/test_file write 1060864 4096
/mnt/ms111/group2/ssd/test_file write 1064960 4096
/mnt/ms111/group2/ssd/test_file write 1069056 4096
/mnt/ms111/group2/ssd/test_file write 1073152 4096
/mnt/ms111/group2/ssd/test_file write 1077248 4096
/mnt/ms111/group2/ssd/test_file write 1081344 4096
/mnt/ms111/group2/ssd/test_file write 1085440 4096
/mnt/ms111/group2/ssd/test_file write 1089536 4096
/mnt/ms111/group2/ssd/test_file write 1093632 4096
/mnt/ms111/group2/ssd/test_file write 1097728 4096
/mnt/ms111/group2/ssd/test_file write 1101824 4096
/mnt/ms111/group2/ssd/test_file write 1105920 4096
/mnt/ms111/group2/ssd/test_file write 1110016 4096
/mnt/ms111/group2/ssd/test_file write 1114112 4096
/mnt/ms111/group2/ssd/test_file write 1118208 4096
/mnt/ms111/group2/ssd/test_file write 1122304 4096
/mnt/ms111/group2/ssd/test_file write 1126400 4096
/mnt/ms111/group2/ssd/test_file write 1130496 4096
/mnt/ms111/group2/ssd/test_file write 1134592 4096
